<CAZCO_NAUNAY_WLAN_2020.03.11.11.29.57.txt>
172.21.172.87/21
00:08:e3:ff:fd:90	172.21.168.1
b8:c1:11:51:fb:a6	172.21.173.1
74:9e:af:37:47:82	172.21.173.2
80:0c:67:74:c4:a1	172.21.173.3
80:e0:1d:8a:f6:0f	172.21.168.4
30:24:32:68:dd:28	172.21.169.4
ec:5c:68:04:6c:81	172.21.173.4
40:f0:2f:33:d5:80	172.21.173.5
c0:f4:e6:23:ce:3b	172.21.173.6
ac:b5:7d:e0:7d:90	172.21.169.8
30:57:14:a3:9c:81	172.21.173.8
60:f8:1d:c1:a1:ac	172.21.173.9
d0:ab:d5:68:2b:26	172.21.169.10
d0:2b:20:ea:5d:f0	172.21.173.10
18:f0:e4:e3:e6:0b	172.21.168.12
70:ce:8c:02:57:c2	172.21.169.12
f0:18:98:4a:d1:b4	172.21.172.12
7c:a1:77:f7:2d:28	172.21.173.12
a8:81:95:20:f1:64	172.21.169.13
98:10:e8:93:b1:b4	172.21.173.13
cc:2f:71:d3:0f:d6	172.21.168.14
a8:66:7f:22:5c:f9	172.21.169.14
f4:af:e7:b2:5a:c7	172.21.173.15
a4:b8:05:79:2a:5f	172.21.168.16
f8:63:3f:53:f8:e5	172.21.170.16
a0:d3:7a:24:2f:a2	172.21.173.16
88:19:08:ae:c9:cc	172.21.168.17
90:e1:7b:b7:1b:96	172.21.173.18
38:f9:d3:31:f3:06	172.21.173.19
30:57:14:58:a6:0b	172.21.168.20
0c:dd:24:b1:1c:e1	172.21.169.20
48:2c:a0:9b:b2:ff	172.21.173.20
7c:76:68:13:3e:53	172.21.168.21
d4:61:9d:8f:c8:95	172.21.169.21
2c:6e:85:fd:54:71	172.21.173.22
f0:98:9d:bc:3c:09	172.21.168.23
c8:d0:83:64:ae:43	172.21.173.23
f0:a3:5a:01:93:06	172.21.168.24
94:7b:e7:fa:74:a1	172.21.168.25
94:d0:0d:3f:7d:40	172.21.172.25
c4:98:80:e2:0d:d8	172.21.173.26
ac:07:5f:53:61:9c	172.21.168.28
ec:10:7b:0b:68:7d	172.21.168.29
dc:86:d8:62:11:e4	172.21.168.30
48:2c:a0:73:f7:3a	172.21.168.31
b0:35:b5:91:a2:e7	172.21.172.31
98:10:e8:a0:00:2d	172.21.168.32
38:2d:e8:4e:8d:40	172.21.169.32
8c:85:90:20:34:01	172.21.168.33
c4:06:83:3e:cb:7e	172.21.173.33
8c:b8:4a:47:ad:08	172.21.168.34
